Model,S_IS_T→S↑,S_IS_T→U↓,U_IS_T↓,U_IU_T↓,S_IU_T↓,mASR↓,RR↓
LLaVA-v1.5-7B,97.62,96.92,99.90,89.15,88.58,94.07,2.38
LLaVA-v1.5-13B,97.88,96.09,99.50,80.39,84.45,90.87,2.12
InternVL2.5-8B,98.01,93.96,98.49,57.58,66.90,80.87,1.99
InternVL2.5-26B,98.15,90.76,98.29,46.04,55.95,74.85,1.85
InternVL2.5-38B,98.68,89.81,97.39,46.59,53.36,73.83,1.33
Qwen-2.5-VL-7B,98.94,84.36,99.60,64.12,64.08,79.49,1.06
Qwen-2.5-VL-32B,99.60,95.62,99.50,66.06,71.03,84.39,0.40
Gemma3-12B-IT,99.74,84.60,96.79,33.80,45.94,67.81,0.27
Gemma3-27B-IT,99.87,86.97,97.09,30.46,44.52,67.43,0.13
GPT-4o-mini,99.74,78.44,91.87,24.34,32.04,59.39,0.27
GPT-4o,99.47,59.12,77.51,11.54,21.56,45.10,0.53
Claude-3.5-Sonnet,99.60,52.96,79.62,11.54,16.73,40.21,0.40
Gemini-2.0-Flash,99.74,86.02,95.98,38.25,40.64,67.55,0.27
VLGuard-7B,97.48,53.56,90.26,29.07,33.33,54.08,2.52
SPA-VL-DPO-7B,97.88,71.09,97.89,30.74,29.80,60.12,2.12
SafeLLaVA-7B (Ours),96.29,7.46,39.96,1.39,1.06,14.09,3.71
SafeLLaVA-13B (Ours),92.85,3.32,11.55,1.81,0.47,4.70,7.15
